"Share of seats in parliament (% held by women)"
"49","Russian Federation","7.5"," b","7.5","","5.7","","8.0","","11.5","","11.1","","12.1","","12.1","","12.1","","14.5","","13.9","","16.1","","16.1",""
"157","Rwanda","17.1"," b","17.1","","25.7","","45.3","","50.9","","51.9","","51.9","","57.5","","57.5","","57.5","","57.5","","55.7","","55.7",""
"73","Saint Kitts and Nevis","13.3"," b","13.3","","13.3","","0.1","","6.7","","6.7","","6.7","","6.7","","6.7","","13.3","","13.3","","13.3","","13.3",""
"89","Saint Lucia","14.3"," b","14.3","","13.8","","20.7","","20.7","","24.1","","17.2","","17.2","","17.2","","20.7","","20.7","","20.7","","20.7",""
"94","Saint Vincent and the Grenadines","9.5"," b","9.5","","4.8","","18.2","","14.3","","17.4","","17.4","","13.0","","13.0","","13.0","","13.0","","13.0","","13.0",""
"111","Samoa","4.1"," b","4.1","","8.2","","6.1","","8.2","","4.1","","4.1","","4.1","","6.1","","6.1","","10.0","","10.0","","10.0",""
"..","San Marino","11.7"," b","11.7","","13.3","","16.7","","16.7","","18.3","","16.7","","18.3","","18.3","","16.7","","23.3","","26.7","","26.7",""
"137","Sao Tome and Principe","7.3"," b","7.3","","9.1","","9.1","","18.2","","18.2","","18.2","","18.2","","18.2","","18.2","","18.2","","18.2","","14.5",""
"36","Saudi Arabia","..","","..","","..","","0.1","","0.1","","0.1","","0.1","","19.9","","19.9","","19.9","","19.9","","19.9","","19.9",""
"166","Senegal","11.7"," b","11.7","","14.0","","19.2","","29.6","","29.6","","42.7","","42.7","","43.3","","42.7","","42.7","","41.8","","41.8",""
"63","Serbia","..","","..","","..","","..","","21.6","","22.0","","33.2","","33.2","","34.0","","34.0","","34.0","","34.4","","34.4",""
"62","Seychelles","27.3"," b","27.3","","23.5","","29.4","","23.5","","43.8","","43.8","","43.8","","43.8","","43.8","","21.2","","21.2","","21.2",""
"181","Sierra Leone","..","","..","","8.8","","14.5","","13.2","","12.9","","12.4","","12.4","","12.1","","12.4","","12.4","","12.4","","12.3",""
"9","Singapore","4.8"," b","4.8","","4.3","","16.0","","23.4","","22.2","","24.2","","24.2","","25.3","","23.9","","23.8","","23.0","","23.0",""
"36","Slovakia","14.7"," b","14.7","","14.0","","16.7","","15.3","","16.0","","18.7","","18.7","","18.7","","18.7","","20.0","","20.0","","20.0",""
"24","Slovenia","7.8"," b","7.8","","..","","10.8","","10.8","","23.1","","24.6","","24.6","","26.9","","27.7","","27.7","","28.7","","20.0",""
"153","Solomon Islands","..","","..","","2.0","","0.1","","0.1","","0.1","","2.0","","2.0","","2.0","","2.0","","2.0","","2.0","","2.0",""
"..","Somalia","..","","..","","..","","8.0","","6.8","","6.8","","13.8","","13.8","","13.8","","13.8","","..","","24.3","","24.3",""
"113","South Africa","23.7"," b","23.7","","30.1","","32.8","","42.7","","41.1","","41.1","","41.1","","40.7","","41.2","","41.2","","41.0","","41.8"," f"
"186","South Sudan","..","","..","","..","","..","","..","","24.3","","24.3","","24.3","","24.3","","24.3","","26.6","","26.6","","26.6",""
"25","Spain","19.9"," b","19.9","","25.9","","30.5","","34.1","","34.9","","35.2","","35.2","","37.0","","38.0","","38.6","","38.6","","38.6",""
"71","Sri Lanka","5.3"," b","5.3","","..","","4.9","","5.3","","5.8","","5.8","","5.8","","5.8","","4.9","","5.8","","5.8","","5.8",""
"168","Sudan","5.3"," b","5.3","","..","","13.6","","24.2","","24.1","","24.1","","24.1","","23.8","","31.0","","31.0","","31.0","","31.0",""
"98","Suriname","15.7"," b","15.7","","..","","25.5","","9.8","","11.8","","11.8","","11.8","","11.8","","25.5","","25.5","","25.5","","25.5",""
"8","Sweden","40.4"," b","40.4","","42.7","","45.3","","45.0","","44.7","","44.7","","45.0","","44.7","","43.6","","43.6","","43.6","","46.1",""
"2","Switzerland","20.3"," b","20.3","","22.4","","24.8","","27.6","","26.8","","27.2","","28.9","","28.9","","28.9","","28.9","","29.3","","29.3",""
"154","Syrian Arab Republic","9.6"," b","9.6","","10.4","","12.0","","12.4","","12.4","","12.0","","12.0","","12.0","","12.4","","13.2","","13.2","","13.2",""
"125","Tajikistan","2.8"," b","2.8","","14.0","","19.6","","17.5","","17.5","","17.5","","17.5","","15.2","","14.7","","20.0","","20.0","","20.0",""
"159","Tanzania (United Republic of)","17.5"," b","17.5","","..","","30.4","","..","","36.0","","36.0","","36.0","","36.0","","36.0","","36.6","","37.2","","37.2",""
"77","Thailand","6.6"," b","6.6","","6.8","","10.6","","14.0","","15.7","","15.7","","15.7","","6.1","","6.1","","6.1","","4.8","","5.3",""
"131","Timor-Leste","..","","..","","..","","25.3","","29.2","","32.3","","38.5","","38.5","","38.5","","38.5","","38.5","","32.3","","33.8",""
"167","Togo","1.2"," b","1.2","","4.9","","7.4","","11.1","","11.1","","11.1","","15.4","","17.6","","17.6","","17.6","","17.6","","17.6",""
"105","Tonga","0.1"," b","0.1","","0.1","","3.4","","0.1","","3.6","","3.6","","3.6","","0.1","","0.1","","0.1","","7.7","","7.4",""
"63","Trinidad and Tobago","19.4"," b","19.4","","..","","25.4","","27.4","","27.4","","26.0","","26.0","","24.7","","31.5","","31.5","","30.1","","30.1",""
"91","Tunisia","6.7"," b","6.7","","11.5","","19.3","","23.3","","26.7","","26.7","","26.7","","31.3","","31.3","","31.3","","31.3","","31.3",""
"59","Turkey","2.4"," b","2.4","","4.2","","4.4","","9.1","","14.2","","14.2","","14.4","","14.4","","14.9","","14.9","","14.6","","17.4",""
"108","Turkmenistan","18.0"," b","18.0","","26.0","","16.0","","16.8","","16.8","","16.8","","16.8","","26.4","","25.8","","25.8","","25.8","","24.8",""
"..","Tuvalu","8.3"," b","8.3","","0.1","","0.1","","0.1","","6.7","","6.7","","6.7","","6.7","","6.7","","6.7","","6.7","","6.7",""
"159","Uganda","18.1"," b","18.1","","17.8","","23.9","","31.3","","35.0","","35.0","","35.0","","35.0","","35.0","","33.5","","34.3","","34.3",""
"88","Ukraine","3.8"," b","3.8","","7.8","","5.3","","8.0","","8.0","","9.4","","9.4","","11.7","","12.1","","12.0","","12.3","","12.3",""
"35","United Arab Emirates","0.1"," b","0.1","","0.1","","0.1","","22.5","","17.5","","17.5","","17.5","","17.5","","22.5","","22.5","","22.5","","22.5",""
