"","year","gdi","countrycode","scenario"
"706",2010,0.989,"PAN","Observed"
"708",2010,0.949,"PRY","Observed"
"709",2010,0.935,"PER","Observed"
"710",2010,0.986,"PHL","Observed"
"711",2010,1.009,"POL","Observed"
"712",2010,0.994,"PRT","Observed"
"713",2010,0.983,"QAT","Observed"
"714",2010,0.986,"ROU","Observed"
"715",2010,1.032,"RUS","Observed"
"716",2010,0.953,"RWA","Observed"
"717",2010,0.989,"LCA","Observed"
"718",2010,0.871,"STP","Observed"
"719",2010,0.875,"SAU","Observed"
"720",2010,0.864,"SEN","Observed"
"721",2010,0.97,"SRB","Observed"
"722",2010,0.848,"SLE","Observed"
"723",2010,0.969,"SGP","Observed"
"724",2010,0.991,"SVK","Observed"
"725",2010,1.006,"SVN","Observed"
"726",2010,0.977,"ZAF","Observed"
"727",2010,0.827,"SSD","Observed"
"728",2010,0.979,"ESP","Observed"
"729",2010,0.927,"LKA","Observed"
"730",2010,0.8,"SDN","Observed"
"731",2010,0.972,"SUR","Observed"
"732",2010,0.996,"SWE","Observed"
"733",2010,0.984,"CHE","Observed"
"734",2010,0.834,"SYR","Observed"
"735",2010,0.838,"TJK","Observed"
"736",2010,0.922,"TZA","Observed"
"737",2010,0.997,"THA","Observed"
"738",2010,0.796,"MKD","Observed"
"739",2010,0.883,"TLS","Observed"
"740",2010,0.784,"TGO","Observed"
"741",2010,0.953,"TON","Observed"
"742",2010,0.995,"TTO","Observed"
"743",2010,0.887,"TUN","Observed"
"744",2010,0.903,"TUR","Observed"
"745",2010,0.857,"UGA","Observed"
"746",2010,1.008,"UKR","Observed"
"748",2010,0.957,"GBR","Observed"
"749",2010,0.996,"USA","Observed"
"750",2010,1.005,"URY","Observed"
"752",2010,1.025,"VEN","Observed"
"753",2010,0.992,"VNM","Observed"
"754",2010,0.667,"YEM","Observed"
"755",2010,0.906,"ZMB","Observed"
"756",2010,0.915,"ZWE","Observed"
"785",2011,0.581,"AFG","Observed"
"786",2011,0.955,"ALB","Observed"
"787",2011,0.838,"DZA","Observed"
"788",2011,1,"ARG","Observed"
"789",2011,0.965,"ARM","Observed"
"790",2011,0.97,"AUS","Observed"
"791",2011,0.96,"AUT","Observed"
"792",2011,0.947,"AZE","Observed"
"794",2011,0.981,"BHR","Observed"
"795",2011,0.835,"BGD","Observed"
"796",2011,1.02,"BRB","Observed"
"797",2011,1.027,"BLR","Observed"
"798",2011,0.97,"BEL","Observed"
"799",2011,0.961,"BLZ","Observed"
"800",2011,0.837,"BEN","Observed"
"801",2011,0.902,"BTN","Observed"
"802",2011,0.921,"BOL","Observed"
"803",2011,0.93,"BIH","Observed"
"804",2011,0.985,"BWA","Observed"
"805",2011,1.008,"BRA","Observed"
"806",2011,0.983,"BRN","Observed"
"807",2011,0.991,"BGR","Observed"
"808",2011,0.835,"BFA","Observed"
"809",2011,0.98,"BDI","Observed"
"811",2011,0.902,"KHM","Observed"
"812",2011,0.854,"CMR","Observed"
"813",2011,0.983,"CAN","Observed"
"814",2011,0.759,"CAF","Observed"
"815",2011,0.765,"TCD","Observed"
"816",2011,0.959,"CHL","Observed"
"817",2011,0.942,"CHN","Observed"
"818",2011,0.993,"COL","Observed"
"819",2011,0.863,"COM","Observed"
"820",2011,0.919,"COG","Observed"
"821",2011,0.805,"COD","Observed"
"822",2011,0.97,"CRI","Observed"
"823",2011,0.986,"HRV","Observed"
"824",2011,0.963,"CUB","Observed"
"825",2011,0.969,"CYP","Observed"
"826",2011,0.978,"CZE","Observed"
"827",2011,0.749,"CIV","Observed"
"828",2011,0.982,"DNK","Observed"
"829",2011,0.992,"DOM","Observed"
"831",2011,0.868,"EGY","Observed"
"832",2011,0.964,"SLV","Observed"
"833",2011,1.025,"EST","Observed"
"834",2011,0.926,"SWZ","Observed"
"835",2011,0.827,"ETH","Observed"
"837",2011,1.003,"FIN","Observed"
"838",2011,0.99,"FRA","Observed"
"839",2011,0.905,"GAB","Observed"
"840",2011,0.807,"GMB","Observed"
"841",2011,0.958,"GEO","Observed"
"842",2011,0.964,"DEU","Observed"
"843",2011,0.889,"GHA","Observed"
"844",2011,0.963,"GRC","Observed"
"845",2011,0.904,"GTM","Observed"
"846",2011,0.799,"GIN","Observed"
"847",2011,0.949,"GUY","Observed"
"849",2011,0.966,"HND","Observed"
"850",2011,0.963,"HKG","Observed"
"851",2011,0.992,"HUN","Observed"
"852",2011,0.982,"ISL","Observed"
"853",2011,0.801,"IND","Observed"
"854",2011,0.926,"IDN","Observed"
"855",2011,0.869,"IRN","Observed"
"856",2011,0.815,"IRQ","Observed"
"857",2011,0.976,"IRL","Observed"
"858",2011,0.969,"ISR","Observed"
"859",2011,0.971,"ITA","Observed"
"860",2011,0.983,"JAM","Observed"
"861",2011,0.962,"JPN","Observed"
"862",2011,0.853,"JOR","Observed"
"863",2011,1.008,"KAZ","Observed"
"864",2011,0.922,"KEN","Observed"
"865",2011,0.927,"KOR","Observed"
"866",2011,0.983,"KWT","Observed"
"867",2011,0.959,"KGZ","Observed"
"868",2011,0.907,"LAO","Observed"
"869",2011,1.03,"LVA","Observed"
